source_system,source_identifier,wellbore_uid,well_code,sidetrack_code,operator_label,match_method,match_confidence,identity_kind,occurrences,official_identifiers,evidence,first_seen_in
PROD,NO 15/9-F-1 C,15/9-F-1 C,15/9-F-1,C,,NORMALIZED,0.95,WELL_BORE_CODE,746,NPD_NUMBER:7405,stages a-d; decided at d_split_sidetrack; corroborated by NPD_NUMBER 7405 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-1 C'),data/landing/prod/Production_data/Volve production data.xlsx
SIM,P-F-1C,15/9-F-1 C,15/9-F-1,C,,NORMALIZED,0.70,ECLIPSE_WELSPECS,2,,"simulator producer name; block 15/9 assumed because the name omits it, then corroborated by a source that named its own block",data/landing/sim/Reservoir_Model-Eclipse_model/Volve_sim_model_PPA-Eclipse Res Model/MOD2013_VOLVE_NW-OPTIONS-SHUT-PF1C_H.SCH
TRAJ,15_9-F-1 C,15/9-F-1 C,15/9-F-1,C,,NORMALIZED,0.95,WELLBORE_FOLDER,4,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
ARCHIVE,Norway-StatoilHydro-15_$47$_9-F-10,15/9-F-10,15/9-F-10,,StatoilHydro,NORMALIZED,0.95,ARCHIVE_NAME,12,,stages a-d; decided at c_canonical_separators,Norway-StatoilHydro-15_$47$_9-F-10.zip
DDR,15/9-F-10,15/9-F-10,15/9-F-10,,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,142,NPD_NUMBER:6099,already canonical; corroborated by NPD_NUMBER 6099 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-10'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_10_2009_04_07.xml
DDR,15_9_F_10,15/9-F-10,15/9-F-10,,,NORMALIZED,0.95,FILE_NAME,213,,stages a-d; decided at c_canonical_separators,Daily Drilling Report file names
DDR,6099,15/9-F-10,15/9-F-10,,,IDENTIFIER,1.00,NPD_NUMBER,71,NPD_NUMBER:6099,NPD_NUMBER 6099 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-10'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_10_2009_04_07.xml
DDR,NO 15/9-F-10,15/9-F-10,15/9-F-10,,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,142,NPD_NUMBER:6099,stages a-d; decided at b_strip_prefixes; corroborated by NPD_NUMBER 6099 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-F-10'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_F_10_2009_04_07.xml
SIM,P-F-10,15/9-F-10,15/9-F-10,,,NORMALIZED,0.70,ECLIPSE_WELSPECS,2,,"simulator producer name; block 15/9 assumed because the name omits it, then corroborated by a source that named its own block",data/landing/sim/Reservoir_Model-Eclipse_model/Volve_sim_model_PPA-Eclipse Res Model/F-10_main-LH.INC
TRAJ,15/9-F-10,15/9-F-10,15/9-F-10,,,EXACT,1.00,XML_NAME_WELL,5,W_NUMBER:W-924688,already canonical; corroborated by W_NUMBER W-924688 (from TRAJ XML_NAME_WELL '15/9-F-10'),data/landing/traj/Norway-StatoilHydro-15-9-F-10/1/trajectory/1.xml
